15,Manjares Restaurant,(773) 254-3663,2230 S ASHLAND AVE,Chicago,60608,Not available,69.0,2.0360026772540305,False,800.0,2200.0,,4.0,2
16,Tierra Caliente Restaurant,(773) 847-9755,4070 S ARCHER AVE,Chicago,60632,/biz_redir?url=http%3A%2F%2Ftierracalienterestaurant.com&cachebuster=1645078682&website_link_type=website&src_bizid=-zBZpBJbViL1OFjfXw-63Q&s=230f6249591b4f79b69eeb7287a83f832981726322301653b327012ed4823f02,64.0,1.9610409473782302,True,800.0,2200.0,1,4.0,2
17,Chicago Grilled Cheese & Mac Factory,(773) 253-5322,1465 W LELAND AVE,Chicago,60640,Not available,46.0,1.8397908328013108,False,,,,4.5,2
18,Maxwell Street JJ Sausage,(708) 576-8939,2643 W 87TH ST EVERGREEN,Park,60805,/biz_redir?url=http%3A%2F%2Fwww.originaljjsausage.com&cachebuster=1645078690&website_link_type=website&src_bizid=WRLM7reKUd1M8YVMRUVAQg&s=88052abe9aea59df4d4cd9debb3e89a6d709a8e3e5b004b699e8008bcd09d60a,21.0,0.9647314103016833,False,,,,4.0,1
19,Masa Uno,(708) 749-4866,6311 W CERMAK RD UNIT B,Berwyn,60402,Not available,8.0,0.43861818808730846,False,700.0,1900.0,,4.0,1
20,Hunan Egg Roll King,(773) 897-3362,4204 N BDWY ST,Chicago,60613,Not available,158.0,2.8128727293624363,False,1100.0,2100.0,,4.0,1
21,Dave's Red Hots,(773) 722-9935,3422 W ROOSEVELT RD,Chicago,60624,Not available,18.0,1.0693689894888017,True,930.0,1730.0,2,5.0,1
22,La Villa Restaurant,(773) 283-7980,3638 N PULASKI RD,Chicago,60641,/biz_redir?url=http%3A%2F%2Fwww.lavillabanquets.com%2F&cachebuster=1645078892&website_link_type=website&src_bizid=hvHVAs2lhaoYo_rxOUuSTQ&s=786e9ee2fdc64e8f7458334c8d9e907886df5ea3382a71f80653c3f3231da696,684.0,3.6443360374254965,False,1000.0,2200.0,,4.0,2
23,Sutherland's Food & Spirits,(773) 930-4790,5353 W IRVING PARK RD,Chicago,60641,/biz_redir?url=http%3A%2F%2Fsutherlandschicago.com%2F&cachebuster=1645078896&website_link_type=website&src_bizid=U5SjmVy389zwndoF5AvyTA&s=af7ffadd4c99c22f1ddf814ad65ad223f99c97f1fabaf79fd4576cd1fc63a867,226.0,3.0883834952441918,True,,,1,4.0,2
24,Chicago Chicken Coop,(773) 778-9000,3300 W 87TH ST,Chicago,60652,/biz_redir?url=http%3A%2F%2Fwww.thechickencoopusa.com&cachebuster=1645078899&website_link_type=website&src_bizid=pWpThlaVZohWcFOf0rgEcw&s=1c0de8542f42eb4843e1bfe32fe7ce44f6b58a144f4da0d936ee25f36d0d7d6a,48.0,1.2599683835352011,False,,,2,3.0,1
25,Park Tavern,(312) 846-6338,1645 W JACKSON BLVD,Chicago,60612,/questions/zv6Np3a15fxtn8isqCFGPg/yLf-kTbmQNWNxycFBzWf_Q,276.0,2.81893983704533,True,1100.0,2200.0,1,3.5,2
26,Fiesta Burger Heaven,(773) 906-9990,7832 S ASHLAND AVE,Chicago,60620,/biz_redir?url=http%3A%2F%2Ffiestaburgerheaven.us&cachebuster=1645078906&website_link_type=website&src_bizid=aN-ZaXLAM2AuHMPx5ACqvA&s=3ceb58a848830497b47138ec43bddfd54ed12828e3e4c5edaf8050863ef56cf7,19.0,0.5627484198435829,True,700.0,2100.0,1,2.5,1
27,Central Gyros,(773) 545-1276,3127 N CENTRAL AVE,Chicago,60634,/biz_redir?url=http%3A%2F%2Fcentralgyros.com%2F&cachebuster=1645078909&website_link_type=website&src_bizid=cUVrsnrYzy89kLmbOV9YhQ&s=3faf4b081e8dce45d0026cd27a00ebb1e0691b6dd33bc9e58b373fd7348ab271,253.0,3.165301137832963,True,,,1,4.0,2
28,Calumet Fisheries,(773) 933-9855,3259 E 95TH ST,Chicago,60617,/biz_redir?url=http%3A%2F%2Fwww.calumetfisheries.com&cachebuster=1645078913&website_link_type=website&src_bizid=aECai1Z6rnOXzkFAUuDghA&s=5ef613eafe595ed5544f948260faa6a2725a62f05d141649ffc00a24ddee4979,524.0,3.991364406271655,True,900.0,2130.0,1,4.5,2
29,GBD Cakes and Sweets,(312) 401-7065,3412 W 79TH ST,Chicago,60652,/biz_redir?url=http%3A%2F%2Fwww.gbdcakes.com%2F&cachebuster=1645078917&website_link_type=website&src_bizid=OTyxr057zOlIUdFztSULfQ&s=d80232ed28c81a96399ba5e3cff4c7b1f4e4080b5d4a61e5509fa00368ec1ba2,51.0,1.9525115602249843,True,700.0,1500.0,1,4.5,2
30,King Chop Suey,(219) 659-3508,1730 INDIANAPOLIS BLVD,Whiting,46394,/biz_redir?url=http%3A%2F%2Fwww.kingchopsuey.com&cachebuster=1645078920&website_link_type=website&src_bizid=tMwmLztEO9xli1NT-1dxOA&s=2da42ea962e00bad07a76ea1c6b678d2f9413129b5b9a2d8f6ba8d24ea660e75,40.0,1.503704337444375,False,1100.0,2130.0,,4.0,1
31,Brew Brew Coffee and Tea,(773) 687-9498,3832 W DIVERSEY AVE,Chicago,60647,/biz_redir?url=http%3A%2F%2Fbrewbrewcoffeeandtea.com&cachebuster=1645078923&website_link_type=website&src_bizid=duIL_7gzqd23L6tJgulrcw&s=1bff5f9bad205e57554f81f71681f74e7029f174ddcd3004aa9dc3d9acf1258a,178.0,3.2730463841083597,True,700.0,1500.0,2,4.5,1
32,Gorilla Sushi On Clark Street,(773) 728-3333,4617 N CLARK ST,Chicago,60640,/biz_redir?url=http%3A%2F%2Fgorillasushibaronclark.com&cachebuster=1645078927&website_link_type=website&src_bizid=2mI4cfD0A2jjCJdE-WJ39A&s=5cb825059d3cd67125b9866209652a8ee5cd839e54f68c3071face8763781ae5,154.0,2.442969973332797,True,1130.0,,1,3.5,2
33,Palace Grill,(312) 226-9529,1408 W MADISON ST,Chicago,60607,/biz_redir?url=http%3A%2F%2Fpalacegrillonmadison.com&cachebuster=1645078930&website_link_type=website&src_bizid=SS35Cso7FMrHnwDYYrfL7Q&s=5225a7fe14838d4a89667833628835f11e5bceeff7cf6ae31fb812b17006f259,377.0,3.8229647840237573,True,600.0,1500.0,1,4.5,2
34,White Castle,(773) 776-0622,6901 S WESTERN AVE,Chicago,60636,/biz_redir?url=http%3A%2F%2Fwww.whitecastle.com&cachebuster=1645220071&website_link_type=website&src_bizid=4x4mo2793hp_iEHE09Ko7w&s=934580b7cc865f0ea43a778be4ae9e822177d6fc1fcd4a42053c829af7a957b8,11.0,0.3640559500839504,True,500.0,,2,2.5,1
